market_key,market,display_name,line,selection_scope,market_family,model_status,trained_directly,derived_from,probability_source,validation_status,betting_status,stake_allowed,backtest_status,odds_status,default_tracking_action,notes,next_step
h2h_home_away,h2h,1X2 home/away,,home_or_away,result,trained_direct,True,,xgb_result_1x2 + poisson_goals ensemble,validated_v1,live_core_restricted,True,wc2022_pinnacle_filtered_positive,available_current_and_historical,core_candidate,Only home/away selections; draw is excluded.,Keep monitoring CLV and results during group stage.
h2h_draw,h2h,1X2 draw,,draw,result,trained_direct,True,,xgb_result_1x2 + poisson_goals ensemble,known_failure,excluded,False,wc2022_negative_draw_bias,available_current_and_historical,no_track,Current model overestimates draws; do not stake.,Recalibrate draw class or keep permanently excluded.
double_chance,double_chance,Double chance,,1x_x2_12,result,derived,False,h2h,derived_from_ensemble_1x2,radar_only,no_stake,False,not_backtested,needs_market_odds,radar_only,Derived from 1X2 probabilities; draw bias can leak into 1X/X2.,Backtest separately before paper shortlist.
draw_no_bet,draw_no_bet,Draw no bet,,home_or_away_void_draw,result,derived,False,h2h,derived_from_ensemble_1x2_conditioned_no_draw,radar_only,no_stake,False,not_backtested,needs_market_odds,radar_only,Uses conditional home/away probability once draw is void.,Collect odds and run DNB-specific backtest.
total_goals_1_5,total_goals,Total goals 1.5,1.5,over_under,goals,derived,False,poisson_goals,poisson_total_goals,radar_only,no_stake,False,not_backtested,needs_market_odds,radar_only,Line derived from Poisson score distribution; not independently validated.,Backtest 1.5 line if odds coverage is good.
total_goals_2_5,total_goals,Total goals 2.5,2.5,over_under,goals,trained_direct,True,,xgb_over25 + poisson_goals ensemble,paper_tracking,paper_only,False,wc2022_negative_small_sample,available_current_partial_historical,paper_track,"Dedicated WC2022 test: 10 default bets, ROI -23.5%; keep paper only.",Track CLV/results in paper and collect more historical totals odds before promotion.
total_goals_3_5,total_goals,Total goals 3.5,3.5,over_under,goals,derived,False,poisson_goals,poisson_total_goals,radar_only,no_stake,False,not_backtested,needs_market_odds,radar_only,Line derived from Poisson score distribution; not independently validated.,Backtest 3.5 line if odds coverage is good.
btts,btts,Both teams to score,,yes_no,goals,trained_direct,True,,xgb_btts + poisson_goals ensemble,paper_tracking,paper_only,False,blocked_no_btts_odds,no_current_or_historical_btts_odds_in_repo,paper_track,"Direct model exists and ECE is acceptable, but repo has no BTTS odds rows for EV/backtest yet.","Collect BTTS odds, rerun multi_market_ev, then run a dedicated BTTS backtest before staking."
team_goals_0_5,team_goals,Team goals 0.5,0.5,team_over_under,team_goals,derived,False,poisson_goals,poisson_team_lambda,radar_only,no_stake,False,not_backtested,needs_market_odds,radar_only,Derived from team lambda; useful for manual comparison only.,Collect team-goals odds before any shortlist.
team_goals_1_5,team_goals,Team goals 1.5,1.5,team_over_under,team_goals,derived,False,poisson_goals,poisson_team_lambda,radar_only,no_stake,False,not_backtested,needs_market_odds,radar_only,Derived from team lambda; useful for manual comparison only.,Collect team-goals odds before any shortlist.
team_goals_2_5,team_goals,Team goals 2.5,2.5,team_over_under,team_goals,derived,False,poisson_goals,poisson_team_lambda,radar_only,no_stake,False,not_backtested,needs_market_odds,radar_only,Derived from team lambda; useful for manual comparison only.,Collect team-goals odds before any shortlist.
clean_sheet,clean_sheet,Clean sheet,,team_yes_no,team_goals,derived,False,poisson_goals,poisson_opponent_lambda_zero,radar_only,no_stake,False,not_backtested,needs_market_odds,radar_only,Derived from opponent lambda; sensitive to Poisson independence assumptions.,Collect clean-sheet odds before any shortlist.
total_corners_8_5,total_corners,Total corners 8.5,8.5,over_under,corners,derived_from_trained_mean,False,corners_total_mean,poisson_approx_from_xgb_pred_corners,radar_only,no_stake,False,sample_small_not_backtested,needs_market_odds,radar_only,XGBoost predicts total-corners mean; line probability uses rough Poisson approximation.,Calibrate corners distribution/overdispersion before paper shortlist.
total_corners_9_5,total_corners,Total corners 9.5,9.5,over_under,corners,derived_from_trained_mean,False,corners_total_mean,poisson_approx_from_xgb_pred_corners,radar_only,no_stake,False,sample_small_not_backtested,needs_market_odds,radar_only,XGBoost predicts total-corners mean; line probability uses rough Poisson approximation.,Calibrate corners distribution/overdispersion before paper shortlist.
total_corners_10_5,total_corners,Total corners 10.5,10.5,over_under,corners,derived_from_trained_mean,False,corners_total_mean,poisson_approx_from_xgb_pred_corners,radar_only,no_stake,False,sample_small_not_backtested,needs_market_odds,radar_only,XGBoost predicts total-corners mean; line probability uses rough Poisson approximation.,Calibrate corners distribution/overdispersion before paper shortlist.
total_yellow_cards,total_yellow_cards,Total yellow cards,,over_under,cards,incomplete,False,,not_ready,blocked,no_stake,False,not_backtested,needs_referee_assignments_and_odds,blocked,"Yellow-card config exists, but current WC2026 outputs do not contain pred_yellows.",Fix/generate yellows predictions once referees and card data are reliable.
player_props,player_props,Player props,,player_market,player_props,not_started,False,,not_ready,blocked,no_stake,False,not_backtested,needs_player_prop_odds,blocked,Requires expected minutes and player-level matching/stats before modelling.,Finish player master enrichment and expected-minutes layer.
