market,registry_entries,registry_keys,model_statuses,validation_statuses,betting_statuses,stake_allowed_any,default_tracking_actions,backtest_statuses,odds_statuses,next_steps,probability_rows,probability_matches,odds_rows,odds_matches,odds_source_markets,ev_rows,ev_matches,paper_tracker_rows,paper_tracker_matches,availability_status,recommended_action
player_props,1,player_props,not_started,blocked,no_stake,False,blocked,not_backtested,needs_player_prop_odds,Finish player master enrichment and expected-minutes layer.,0,0,0,0,,0,0,0,0,blocked_not_modeled,Finish player master enrichment and expected-minutes layer.
total_yellow_cards,1,total_yellow_cards,incomplete,blocked,no_stake,False,blocked,not_backtested,needs_referee_assignments_and_odds,Fix/generate yellows predictions once referees and card data are reliable.,0,0,0,0,,0,0,0,0,blocked_not_modeled,Fix/generate yellows predictions once referees and card data are reliable.
h2h,2,h2h_draw;h2h_home_away,trained_direct,known_failure;validated_v1,excluded;live_core_restricted,True,core_candidate;no_track,wc2022_negative_draw_bias;wc2022_pinnacle_filtered_positive,available_current_and_historical,Keep monitoring CLV and results during group stage.;Recalibrate draw class or keep permanently excluded.,216,72,207,69,h2h,207,69,0,0,live_ev_ready,Run 1X2 v1 filters and update bet tracker; stake only core home/away selections.
btts,1,btts,trained_direct,paper_tracking,paper_only,False,paper_track,blocked_no_btts_odds,no_current_or_historical_btts_odds_in_repo,"Collect BTTS odds, rerun multi_market_ev, then run a dedicated BTTS backtest before staking.",144,72,0,0,,0,0,0,0,modeled_waiting_for_odds,Wait for bookmaker market unlock; then refresh saved odds and rerun multi_market_ev.
clean_sheet,1,clean_sheet,derived,radar_only,no_stake,False,radar_only,not_backtested,needs_market_odds,Collect clean-sheet odds before any shortlist.,288,72,0,0,,0,0,0,0,modeled_waiting_for_odds,Wait for bookmaker market unlock; then refresh saved odds and rerun multi_market_ev.
double_chance,1,double_chance,derived,radar_only,no_stake,False,radar_only,not_backtested,needs_market_odds,Backtest separately before paper shortlist.,216,72,0,0,,0,0,0,0,modeled_waiting_for_odds,Wait for bookmaker market unlock; then refresh saved odds and rerun multi_market_ev.
draw_no_bet,1,draw_no_bet,derived,radar_only,no_stake,False,radar_only,not_backtested,needs_market_odds,Collect odds and run DNB-specific backtest.,144,72,0,0,,0,0,0,0,modeled_waiting_for_odds,Wait for bookmaker market unlock; then refresh saved odds and rerun multi_market_ev.
team_goals,3,team_goals_0_5;team_goals_1_5;team_goals_2_5,derived,radar_only,no_stake,False,radar_only,not_backtested,needs_market_odds,Collect team-goals odds before any shortlist.,864,72,0,0,,0,0,0,0,modeled_waiting_for_odds,Wait for bookmaker market unlock; then refresh saved odds and rerun multi_market_ev.
total_corners,3,total_corners_10_5;total_corners_8_5;total_corners_9_5,derived_from_trained_mean,radar_only,no_stake,False,radar_only,sample_small_not_backtested,needs_market_odds,Calibrate corners distribution/overdispersion before paper shortlist.,432,72,0,0,,0,0,0,0,modeled_waiting_for_odds,Wait for bookmaker market unlock; then refresh saved odds and rerun multi_market_ev.
total_goals,3,total_goals_1_5;total_goals_2_5;total_goals_3_5,derived;trained_direct,paper_tracking;radar_only,no_stake;paper_only,False,paper_track;radar_only,not_backtested;wc2022_negative_small_sample,available_current_partial_historical;needs_market_odds,Backtest 1.5 line if odds coverage is good.;Backtest 3.5 line if odds coverage is good.;Track CLV/results in paper and collect more historical totals odds before promotion.,432,72,144,72,totals,52,26,15,15,paper_ev_ready,Update paper tracker and measure CLV/results; no real stake.
